iter	Passed	Remaining
808	2205	520
809	2208	518
810	2210	515
811	2212	512
812	2214	509
813	2216	506
814	2217	503
815	2219	500
816	2221	497
817	2222	494
818	2224	491
819	2226	488
820	2228	485
821	2231	483
822	2233	480
823	2237	477
824	2350	498
825	2354	495
826	2356	492
827	2357	489
828	2359	486
829	2360	483
830	2363	480
831	2366	477
832	2369	475
833	2373	472
834	2376	469
835	2379	466
836	2383	464
837	2386	461
838	2390	458
839	2393	455
840	2398	453
841	2401	450
842	2405	447
843	2407	445
844	2411	442
845	2413	439
846	2415	436
847	2416	433
848	2418	430
849	2420	427
850	2425	424
851	2428	421
852	2431	418
853	2433	416
854	2437	413
855	2439	410
856	2443	407
857	2445	404
858	2448	401
859	2451	399
860	2453	396
861	2456	393
862	2459	390
863	2463	387
864	2466	384
865	2469	382
866	2471	379
867	2475	376
868	2477	373
869	2479	370
870	2481	367
871	2483	364
872	2484	361
873	2486	358
874	2488	355
875	2489	352
876	2492	349
877	2496	346
878	2499	344
879	2502	341
880	2504	338
881	2505	335
882	2507	332
883	2509	329
884	2511	326
885	2513	323
886	2514	320
887	2516	317
888	2517	314
889	2520	311
890	2523	308
891	2526	305
892	2529	303
893	2551	302
894	2564	300
895	2567	297
896	2571	295
897	2577	292
898	2580	289
899	2583	287
900	2586	284
901	2588	281
902	2590	278
903	2593	275
904	2596	272
905	2598	269
906	2600	266
907	2601	263
908	2605	260
909	2608	257
910	2609	254
911	2611	252
912	2613	249
913	2615	246
914	2616	243
915	2618	240
916	2621	237
917	2624	234
918	2627	231
919	2630	228
920	2632	225
921	2634	222
922	2636	219
923	2639	217
924	2640	214
925	2642	211
926	2644	208
927	2645	205
928	2647	202
929	2648	199
930	2650	196
931	2651	193
932	2653	190
933	2654	187
934	2655	184
935	2657	181
936	2658	178
937	2660	175
938	2661	172
939	2663	170
940	2664	167
941	2666	164
942	2667	161
943	2669	158
944	2671	155
945	2672	152
946	2674	149
947	2676	146
948	2677	143
949	2679	141
950	2681	138
951	2682	135
952	2684	132
953	2685	129
954	2687	126
955	2689	123
956	2690	120
957	2692	118
958	2693	115
959	2695	112
960	2697	109
961	2698	106
962	2701	103
963	2703	100
964	2704	98
965	2706	95
966	2707	92
967	2709	89
968	2710	86
969	2712	83
970	2714	81
971	2715	78
972	2717	75
973	2718	72
974	2720	69
975	2721	66
976	2723	64
977	2724	61
978	2726	58
979	2728	55
980	2730	52
981	2731	50
982	2734	47
983	2737	44
984	2740	41
985	2743	38
986	2746	36
987	2747	33
988	2749	30
989	2750	27
990	2752	24
991	2754	22
992	2755	19
993	2757	16
994	2759	13
995	2761	11
996	2762	8
997	2764	5
998	2765	2
999	2767	0
